# Site-hosted image URL mapping, Phase B batch 3. Hashes computed with Rollup (the algorithm Astro uses for /_astro/ asset names); the 70 published posts' live og:image values matched the computed old URLs 69/69 (one published post has no hero).
# served_today: production HTTP status of old_url on 2026-09-18 before the batch. 404 = original never emitted (only sized derivatives), no redirect needed.
# old_url	new_url	served_today	role	post_slug
https://kenashe.ai/_astro/hero.LFlz5Bj4.png	https://kenashe.ai/_astro/hero.Cs3OBkhY.webp	200	hero (og:image + Article.image)	2026-07-14-dictionary-work-is-a-sharp-test-for-human-centered-ai
https://kenashe.ai/_astro/inline-1.CyiNLJPc.png	https://kenashe.ai/_astro/inline-1.DNKK_kSD.webp	200	inline (in-page only)	2026-07-14-dictionary-work-is-a-sharp-test-for-human-centered-ai
https://kenashe.ai/_astro/hero.B7YVMLEU.png	https://kenashe.ai/_astro/hero.aIP1AiwH.webp	200	hero (og:image + Article.image)	2026-07-14-frugal-nas-on-an-rtx-3060-is-the-useful-part
https://kenashe.ai/_astro/inline-1.Cn8moYIP.png	https://kenashe.ai/_astro/inline-1.TZ1g7pIR.webp	200	inline (in-page only)	2026-07-14-frugal-nas-on-an-rtx-3060-is-the-useful-part
https://kenashe.ai/_astro/hero.BdmVqgp7.png	https://kenashe.ai/_astro/hero.iCmzHiK-.webp	200	hero (og:image + Article.image)	2026-07-14-judge-bias-lives-in-the-activations-not-just-the-prompt
https://kenashe.ai/_astro/inline-1.JclWsAUv.png	https://kenashe.ai/_astro/inline-1.DeYq9sWv.webp	404	inline (in-page only)	2026-07-14-judge-bias-lives-in-the-activations-not-just-the-prompt
https://kenashe.ai/_astro/inline-2.F81AfbY-.png	https://kenashe.ai/_astro/inline-2.DyjxGq13.webp	404	inline (in-page only)	2026-07-14-judge-bias-lives-in-the-activations-not-just-the-prompt
https://kenashe.ai/_astro/inline-3.q4Q1n_mL.png	https://kenashe.ai/_astro/inline-3.BaChONR-.webp	404	inline (in-page only)	2026-07-14-judge-bias-lives-in-the-activations-not-just-the-prompt
https://kenashe.ai/_astro/hero.Bvl9yj_b.png	https://kenashe.ai/_astro/hero.CgIbe_iY.webp	200	hero (og:image + Article.image)	2026-07-14-regrinds-one-demo-recipe-for-robot-hands
https://kenashe.ai/_astro/inline-1.eORhqaZK.png	https://kenashe.ai/_astro/inline-1.BlALG8kc.webp	404	inline (in-page only)	2026-07-14-regrinds-one-demo-recipe-for-robot-hands
https://kenashe.ai/_astro/hero.CfpOQ2na.png	https://kenashe.ai/_astro/hero.CrVKYL7W.webp	200	hero (og:image + Article.image)	2026-07-14-teaching-feedback-benchmark-says-the-protocol-matters-more-than-the-model
https://kenashe.ai/_astro/inline-1.COuF5p2o.png	https://kenashe.ai/_astro/inline-1.CkaF7P3P.webp	200	inline (in-page only)	2026-07-14-teaching-feedback-benchmark-says-the-protocol-matters-more-than-the-model
https://kenashe.ai/_astro/hero.CV8RBQT2.png	https://kenashe.ai/_astro/hero.Byjvemof.webp	200	hero (og:image + Article.image)	2026-07-14-transformer-circuits-may-be-lower-dimensional-than-they-look
https://kenashe.ai/_astro/inline-1.voyAfdzy.png	https://kenashe.ai/_astro/inline-1.DmHBhdaJ.webp	404	inline (in-page only)	2026-07-14-transformer-circuits-may-be-lower-dimensional-than-they-look
https://kenashe.ai/_astro/hero.m2tqJizW.png	https://kenashe.ai/_astro/hero.6fOPe2Sl.webp	200	hero (og:image + Article.image)	2026-07-14-transformer-theory-moves-from-can-represent-to-can-learn
https://kenashe.ai/_astro/inline-1.BFS22jeD.png	https://kenashe.ai/_astro/inline-1.gtRytYPE.webp	404	inline (in-page only)	2026-07-14-transformer-theory-moves-from-can-represent-to-can-learn
https://kenashe.ai/_astro/hero.B7qO8dfR.png	https://kenashe.ai/_astro/hero.CB7FIDhO.webp	200	hero (og:image + Article.image)	2026-07-14-what-a-model-knows-about-what-it-knows
https://kenashe.ai/_astro/inline-1.S3XoJBvp.png	https://kenashe.ai/_astro/inline-1.BkLpUEqn.webp	404	inline (in-page only)	2026-07-14-what-a-model-knows-about-what-it-knows
https://kenashe.ai/_astro/inline-2.KQiY82QT.png	https://kenashe.ai/_astro/inline-2.Ddk3qfqG.webp	404	inline (in-page only)	2026-07-14-what-a-model-knows-about-what-it-knows
https://kenashe.ai/_astro/inline-3.CGEtnIsq.png	https://kenashe.ai/_astro/inline-3.D8mcWByU.webp	404	inline (in-page only)	2026-07-14-what-a-model-knows-about-what-it-knows
https://kenashe.ai/_astro/hero.BDA2d-az.png	https://kenashe.ai/_astro/hero.Eo1NQWMj.webp	200	hero (og:image + Article.image)	2026-07-15-agents-over-read-the-case-for-complexity-aware-execution
https://kenashe.ai/_astro/inline-1.CxRFLTHl.png	https://kenashe.ai/_astro/inline-1.B1WRuTKE.webp	200	inline (in-page only)	2026-07-15-agents-over-read-the-case-for-complexity-aware-execution
https://kenashe.ai/_astro/inline-2.DQunPWHR.png	https://kenashe.ai/_astro/inline-2.CkJH07MP.webp	200	inline (in-page only)	2026-07-15-agents-over-read-the-case-for-complexity-aware-execution
https://kenashe.ai/_astro/hero.QHUc3XgC.png	https://kenashe.ai/_astro/hero.BkFThqsr.webp	200	hero (og:image + Article.image)	2026-07-15-bonsai-27b-makes-local-agents-smaller-not-magically-smarter
https://kenashe.ai/_astro/inline-1.RNkR_-aS.png	https://kenashe.ai/_astro/inline-1.BT_qwgcb.webp	404	inline (in-page only)	2026-07-15-bonsai-27b-makes-local-agents-smaller-not-magically-smarter
https://kenashe.ai/_astro/hero.DEH2VFgL.png	https://kenashe.ai/_astro/hero.Qo_C2-A1.webp	200	hero (og:image + Article.image)	2026-07-15-bonsai-27b-makes-phone-inference-the-claim-to-inspect
https://kenashe.ai/_astro/inline-1.aSHzBTmM.png	https://kenashe.ai/_astro/inline-1.pE34SMzQ.webp	404	inline (in-page only)	2026-07-15-bonsai-27b-makes-phone-inference-the-claim-to-inspect
https://kenashe.ai/_astro/hero.DOMI5acA.png	https://kenashe.ai/_astro/hero.Y8XIFoLo.webp	200	hero (og:image + Article.image)	2026-07-15-claude-for-teachers-is-really-a-feedback-loop-product
https://kenashe.ai/_astro/inline-1.G2N7fMQl.png	https://kenashe.ai/_astro/inline-1.DgAov2IB.webp	404	inline (in-page only)	2026-07-15-claude-for-teachers-is-really-a-feedback-loop-product
https://kenashe.ai/_astro/hero.D5io0tdr.png	https://kenashe.ai/_astro/hero.3jy-r4Bh.webp	200	hero (og:image + Article.image)	2026-07-15-memory-failures-hide-behind-correct-answers-what-memops-exposes
https://kenashe.ai/_astro/inline-1.B1fTUC2l.png	https://kenashe.ai/_astro/inline-1.CT78r7kb.webp	404	inline (in-page only)	2026-07-15-memory-failures-hide-behind-correct-answers-what-memops-exposes
https://kenashe.ai/_astro/inline-2.CgeXFtIj.png	https://kenashe.ai/_astro/inline-2.DXFHjkwf.webp	404	inline (in-page only)	2026-07-15-memory-failures-hide-behind-correct-answers-what-memops-exposes
https://kenashe.ai/_astro/inline-3.CzjGQQnG.png	https://kenashe.ai/_astro/inline-3.DKpUk82K.webp	404	inline (in-page only)	2026-07-15-memory-failures-hide-behind-correct-answers-what-memops-exposes
https://kenashe.ai/_astro/hero.oT3AJJQB.png	https://kenashe.ai/_astro/hero.D2vSKdTO.webp	200	hero (og:image + Article.image)	2026-07-15-palmclaw-and-the-case-for-tool-first-mobile-agents
https://kenashe.ai/_astro/inline-1.Cq10g5iH.png	https://kenashe.ai/_astro/inline-1.CfcGgdJV.webp	404	inline (in-page only)	2026-07-15-palmclaw-and-the-case-for-tool-first-mobile-agents
https://kenashe.ai/_astro/inline-2.mj_S0PJp.png	https://kenashe.ai/_astro/inline-2.vpbe1kg5.webp	404	inline (in-page only)	2026-07-15-palmclaw-and-the-case-for-tool-first-mobile-agents
https://kenashe.ai/_astro/inline-3.BRELYvYE.png	https://kenashe.ai/_astro/inline-3.DXFScaMY.webp	404	inline (in-page only)	2026-07-15-palmclaw-and-the-case-for-tool-first-mobile-agents
https://kenashe.ai/_astro/hero.yV0YxMpf.png	https://kenashe.ai/_astro/hero.ry7FqPBJ.webp	200	hero (og:image + Article.image)	2026-07-15-self-repair-in-small-code-models-may-be-measuring-retry-form-not-error-content
https://kenashe.ai/_astro/inline-1.CF6IIumb.png	https://kenashe.ai/_astro/inline-1.Cn5VD4mH.webp	404	inline (in-page only)	2026-07-15-self-repair-in-small-code-models-may-be-measuring-retry-form-not-error-content
https://kenashe.ai/_astro/hero.NKrKbp9N.png	https://kenashe.ai/_astro/hero.-2iHCsZ-.webp	200	hero (og:image + Article.image)	2026-07-15-terrazero-bets-on-self-play-for-the-driving-long-tail
https://kenashe.ai/_astro/inline-1.DNv7nGe3.png	https://kenashe.ai/_astro/inline-1.PDO5WWZ4.webp	404	inline (in-page only)	2026-07-15-terrazero-bets-on-self-play-for-the-driving-long-tail
https://kenashe.ai/_astro/hero.D40vlNfd.png	https://kenashe.ai/_astro/hero.hK5CMsHL.webp	200	hero (og:image + Article.image)	2026-07-15-useful-work-per-dollar-is-the-agent-metric-that-matters
https://kenashe.ai/_astro/inline-1.abnh-yst.png	https://kenashe.ai/_astro/inline-1.VRnYNUzj.webp	404	inline (in-page only)	2026-07-15-useful-work-per-dollar-is-the-agent-metric-that-matters
https://kenashe.ai/_astro/hero.DWOjlHgK.png	https://kenashe.ai/_astro/hero.CjQ-KPjB.webp	200	hero (og:image + Article.image)	2026-07-15-voice-ai-needs-a-human-quality-test-not-another-pretty-demo
https://kenashe.ai/_astro/inline-1.BD1RQgtT.png	https://kenashe.ai/_astro/inline-1.tt_9sb9L.webp	404	inline (in-page only)	2026-07-15-voice-ai-needs-a-human-quality-test-not-another-pretty-demo
https://kenashe.ai/_astro/hero.DtCQKIBf.png	https://kenashe.ai/_astro/hero.y68XMI1Y.webp	200	hero (og:image + Article.image)	2026-07-16-bioresilience-is-the-better-frame-for-biology-ai-safety
https://kenashe.ai/_astro/inline-1.BptM_teZ.png	https://kenashe.ai/_astro/inline-1.DB_jJDAx.webp	200	inline (in-page only)	2026-07-16-bioresilience-is-the-better-frame-for-biology-ai-safety
https://kenashe.ai/_astro/hero.Bqu_J9wy.png	https://kenashe.ai/_astro/hero.7f6-g9v9.webp	200	hero (og:image + Article.image)	2026-07-16-depth-breaks-rank-before-it-breaks-loss
https://kenashe.ai/_astro/inline-1.CfwY29fV.png	https://kenashe.ai/_astro/inline-1.Fhi6BRLY.webp	404	inline (in-page only)	2026-07-16-depth-breaks-rank-before-it-breaks-loss
https://kenashe.ai/_astro/hero.DK4eqZaK.png	https://kenashe.ai/_astro/hero.0G14Ribh.webp	200	hero (og:image + Article.image)	2026-07-16-feature-selection-is-still-eating-renewable-power-forecasts
https://kenashe.ai/_astro/inline-1.ez9JYf32.png	https://kenashe.ai/_astro/inline-1.BeY-8KA5.webp	200	inline (in-page only)	2026-07-16-feature-selection-is-still-eating-renewable-power-forecasts
https://kenashe.ai/_astro/hero.BCNvpipb.png	https://kenashe.ai/_astro/hero.D3dfZ6e-.webp	200	hero (og:image + Article.image)	2026-07-16-gpt-red-turns-red-teaming-into-a-loop-not-an-event
https://kenashe.ai/_astro/inline-1.BNXbJ3rX.png	https://kenashe.ai/_astro/inline-1.B9aGrlRV.webp	404	inline (in-page only)	2026-07-16-gpt-red-turns-red-teaming-into-a-loop-not-an-event
https://kenashe.ai/_astro/hero.B5FKvAfN.png	https://kenashe.ai/_astro/hero.CK5NDuNH.webp	200	hero (og:image + Article.image)	2026-07-16-grok-builds-apache-2-0-release-puts-the-boring-work-on-users
https://kenashe.ai/_astro/inline-1.jz-wC1_V.png	https://kenashe.ai/_astro/inline-1.DJsmhOOd.webp	404	inline (in-page only)	2026-07-16-grok-builds-apache-2-0-release-puts-the-boring-work-on-users
https://kenashe.ai/_astro/hero.CwdGNpoX.png	https://kenashe.ai/_astro/hero.DVlkDkp3.webp	200	hero (og:image + Article.image)	2026-07-16-new-model-releases-do-not-reset-the-advantage
https://kenashe.ai/_astro/inline-1.9iB2u2SZ.png	https://kenashe.ai/_astro/inline-1.B_zJV8Oy.webp	404	inline (in-page only)	2026-07-16-new-model-releases-do-not-reset-the-advantage
https://kenashe.ai/_astro/hero.B_O0PBel.png	https://kenashe.ai/_astro/hero.CeoGNNL3.webp	200	hero (og:image + Article.image)	2026-07-16-openais-reverse-federalism-bet-for-ai-rules
https://kenashe.ai/_astro/inline-1.ByU-g_L5.png	https://kenashe.ai/_astro/inline-1.BHe-jGBr.webp	200	inline (in-page only)	2026-07-16-openais-reverse-federalism-bet-for-ai-rules
https://kenashe.ai/_astro/hero.V3ojIRet.png	https://kenashe.ai/_astro/hero.CXtSyW5X.webp	200	hero (og:image + Article.image)	2026-07-16-the-manchu-ocr-paper-is-really-a-lesson-in-reusing-checkpoints-you-already-have
https://kenashe.ai/_astro/inline-1.BRKoEcQE.png	https://kenashe.ai/_astro/inline-1.BjQMNPwT.webp	200	inline (in-page only)	2026-07-16-the-manchu-ocr-paper-is-really-a-lesson-in-reusing-checkpoints-you-already-have
https://kenashe.ai/_astro/inline-2.DGEHzUe_.png	https://kenashe.ai/_astro/inline-2.BMY9YK1v.webp	200	inline (in-page only)	2026-07-16-the-manchu-ocr-paper-is-really-a-lesson-in-reusing-checkpoints-you-already-have
