# Batch 5 post status before migration (2026-09-18)
# slug	draft	http_before	in_sitemap	og_image_before	has_hero_frontmatter
2026-08-03-extractbench-tests-document-extraction-where-demos-usually-fail	False	200	1	https://kenashe.ai/_astro/hero.DmCzpmZR.png	True
2026-08-03-mot-sr-uses-llms-as-search-operators-not-equation-oracles	False	200	1	https://kenashe.ai/_astro/hero.CCdDVMV8.png	True
2026-08-03-on-policy-imitation-helps-when-the-student-is-smaller-than-the-expert	False	200	1	https://kenashe.ai/_astro/hero.DlBVb66R.png	True
2026-08-03-post-training-is-now-the-behavior-layer	False	200	1	https://kenashe.ai/_astro/hero.DjAGBxhg.png	True
2026-08-03-the-blind-spot-in-ai-text-detectors-human-writing-an-llm-touched	False	200	1	https://kenashe.ai/_astro/hero.BlABdNt9.png	True
2026-08-03-the-coldcard-scare-is-about-ai-assisted-wallet-attacks-not-ai-breaking-bitcoin	False	200	1	https://kenashe.ai/_astro/hero.CTCcR_2m.png	True
2026-08-03-what-friendbench-reveals-about-how-models-read-social-cues	False	200	1	https://kenashe.ai/_astro/hero.DT2Cxzd8.png	True
2026-08-04-apples-ai-slop-filter-may-be-catching-real-macos-bugs	False	200	1	https://kenashe.ai/_astro/hero.1jQHyvHg.png	True
2026-08-04-dns-identity-for-ai-agents-needs-more-than-a-name	False	200	1	https://kenashe.ai/_astro/hero.BgLMu77N.png	True
2026-08-04-gradcuit-optimizes-the-reasoning-state-not-the-model	False	200	1	https://kenashe.ai/_astro/hero.BL1rtWvn.png	True
2026-08-04-injecting-precomputed-memory-into-ssms-how-precog-skips-the-prefill-tax	True	404	0	https://kenashe.ai/og-default.png	True
2026-08-04-livemem-reframes-long-context-memory-as-state-continuity	False	200	1	https://kenashe.ai/_astro/hero.BwK2tdfU.png	True
2026-08-04-moment-closure-brings-uncertainty-back-into-model-based-rl-planning	False	200	1	https://kenashe.ai/_astro/hero.CCQYGSWQ.png	True
2026-08-04-openais-apple-fight-is-really-about-talent-custody	True	404	0	https://kenashe.ai/og-default.png	True
2026-08-04-two-prepared-policies-may-be-the-sweet-spot-for-uncertain-mdps	False	200	1	https://kenashe.ai/_astro/hero.5s0oyQFV.png	True
2026-08-04-when-should-a-robot-overrule-its-own-plan-cowams-answer	False	200	1	https://kenashe.ai/_astro/hero.DQZSkEjH.png	True
2026-08-04-where-multimodal-embeddings-and-collaborative-coding-agents-actually-stand	False	200	1	https://kenashe.ai/_astro/hero.BNKcbZcU.png	True
2026-08-05-live-internet-agent-tests-expose-the-wrong-safety-boundary	True	404	0	https://kenashe.ai/og-default.png	True
2026-08-05-llms-as-semantic-scouts-for-compiler-optimizations	False	200	1	https://kenashe.ai/_astro/hero.D01Fz8t9.png	True
2026-08-05-openais-cyber-eval-issue-is-really-a-process-story	False	200	1	https://kenashe.ai/_astro/hero.oLCuSwEV.png	True
2026-08-05-openais-education-plugins-move-chatgpt-closer-to-classroom-workflow	False	200	1	https://kenashe.ai/_astro/hero.BJFvqtnS.png	True
2026-08-05-prism-makes-time-series-anomaly-detection-a-vision-problem	False	200	1	https://kenashe.ai/_astro/hero.-bY-uMWr.png	True
2026-08-05-sparse-weight-decomposition-makes-circuit-extraction-less-expensive	False	200	1	https://kenashe.ai/_astro/hero.Bp8efP5r.png	True
2026-08-05-teaching-models-formal-logic-before-words-what-logic-ppt-actually-shows	False	200	1	https://kenashe.ai/_astro/hero.gRL2p5cE.png	True
2026-08-05-turn-level-credit-assignment-what-turnsight-fixes-in-tool-using-agents	True	404	0	https://kenashe.ai/og-default.png	True
2026-08-05-video-deep-research-agents-need-to-look-before-they-search	False	200	1	https://kenashe.ai/_astro/hero.CSSKEwnz.png	True
2026-08-05-what-test-time-scaling-actually-means-when-you-read-a-benchmark	False	200	1	https://kenashe.ai/_astro/hero.BNxeHEHD.png	True
2026-08-07-agnostic-pac-learning-gets-its-optimal-bound	False	200	1	https://kenashe.ai/_astro/hero.Cy15U41U.png	True
2026-08-07-benchmarks-need-qa-before-they-judge-agents	False	200	1	https://kenashe.ai/_astro/hero.CeDieDuv.png	True
