# Batch 2 post status before migration (2026-09-18)
# slug	draft	http_before	in_sitemap	og_image_before
2026-07-03-orbitquant-makes-diffusion-quantization-less-tied-to-calibration-sets	False	200	1	https://kenashe.ai/_astro/hero.DlXhRiXX.png
2026-07-03-speaker-recognition-is-a-better-agent-test-than-another-chat-demo	False	200	1	https://kenashe.ai/_astro/hero.BUwPYbbm.png
2026-07-03-testevo-bench-moves-coding-agent-evals-closer-to-real-maintenance	False	200	1	https://kenashe.ai/_astro/hero.CwHegtrp.png
2026-07-03-the-safety-case-for-a-boring-threshold	False	200	1	https://kenashe.ai/_astro/hero.X7ZkYOeB.png
2026-07-03-unlearning-that-hides-instead-of-erases-what-lacuna-exposes	False	200	1	https://kenashe.ai/_astro/hero.BdAeqtZL.png
2026-07-04-buccy-bench-makes-model-progress-look-usefully-stupid	False	200	1	https://kenashe.ai/_astro/hero.Bp2jN1kA.png
2026-07-04-claude-real-video-points-to-video-as-an-adapter-problem	False	200	1	https://kenashe.ai/_astro/hero.CkLqzAo-.png
2026-07-04-code-as-image-is-a-cost-hack-not-a-free-lunch	False	200	1	https://kenashe.ai/_astro/hero.DTt9AKIo.png
2026-07-04-coding-agents-still-break-flow-at-the-interface	True	404	0	https://kenashe.ai/og-default.png
2026-07-04-datacenter-cooling-is-becoming-an-ai-bottleneck	True	404	0	https://kenashe.ai/og-default.png
2026-07-04-local-ai-is-a-computing-right-not-a-hobbyist-preference	False	200	1	https://kenashe.ai/_astro/hero.Fx2po1xH.png
2026-07-04-local-llms-are-becoming-a-workflow-choice-not-a-hobby-project	False	200	1	https://kenashe.ai/_astro/hero.5fhHux2x.png
2026-07-04-real-time-squishy-physics-is-getting-less-fake	False	200	1	https://kenashe.ai/_astro/hero.t2Fp60jC.png
2026-07-04-the-chalk-talk-test-when-ai-assistance-becomes-the-point-of-the-exercise	True	404	0	https://kenashe.ai/og-default.png
2026-07-04-when-espionage-meets-automation-the-european-parliament-warning	True	404	0	https://kenashe.ai/og-default.png
2026-07-05-agentic-coding-works-best-when-the-repo-has-rails	False	200	1	https://kenashe.ai/_astro/hero.D8zzsXEV.png
