# Site-hosted image URL mapping, Phase B batch 1 (PR #68).
# Hashes computed with Rollup 4 (the algorithm Astro uses for /_astro/ asset names); the 79 hero og:image values were cross-checked against the live site (79/79 match).
# served_today: HTTP status of old_url on production on 2026-09-18. 404 means the original was never emitted (only sized derivatives exist), so no public URL is lost for it.
# old_url	new_url	served_today	role	post_slug
https://kenashe.ai/_astro/hero.Cn8m0Y30.png	https://kenashe.ai/_astro/hero.BJzHHfg7.webp	200	hero (og:image + Article.image)	2026-06-23-adamw-has-a-heavy-tail-theory-gap
https://kenashe.ai/_astro/inline-1.D0x_OwiL.png	https://kenashe.ai/_astro/inline-1.3MvhvcOb.webp	200	inline (in-page only)	2026-06-23-adamw-has-a-heavy-tail-theory-gap
https://kenashe.ai/_astro/hero.DZAYze_a.png	https://kenashe.ai/_astro/hero.Bbdg3JPY.webp	200	hero (og:image + Article.image)	2026-06-23-codex-record-and-replay-turns-screen-demos-into-reusable-skills
https://kenashe.ai/_astro/inline-1.BAeccDn9.png	https://kenashe.ai/_astro/inline-1.alDMdQry.webp	404	inline (in-page only)	2026-06-23-codex-record-and-replay-turns-screen-demos-into-reusable-skills
https://kenashe.ai/_astro/hero.arTjTkrT.png	https://kenashe.ai/_astro/hero.Bp54hFF0.webp	200	hero (og:image + Article.image)	2026-06-23-coordex-and-the-end-of-stop-and-go-humanoids
https://kenashe.ai/_astro/inline-1.C7LoFk3a.png	https://kenashe.ai/_astro/inline-1.DT1syGci.webp	404	inline (in-page only)	2026-06-23-coordex-and-the-end-of-stop-and-go-humanoids
https://kenashe.ai/_astro/inline-2.BXxiCVnY.png	https://kenashe.ai/_astro/inline-2.BPi-tVmS.webp	404	inline (in-page only)	2026-06-23-coordex-and-the-end-of-stop-and-go-humanoids
https://kenashe.ai/_astro/inline-3.DLi-nIUo.png	https://kenashe.ai/_astro/inline-3.D-vNRQLZ.webp	404	inline (in-page only)	2026-06-23-coordex-and-the-end-of-stop-and-go-humanoids
https://kenashe.ai/_astro/hero.gkhNS1hM.png	https://kenashe.ai/_astro/hero.DCvcPHNc.webp	200	hero (og:image + Article.image)	2026-06-23-cugas-two-dozen-examples-are-the-real-agent-documentation
https://kenashe.ai/_astro/inline-1.CWsRaTIH.png	https://kenashe.ai/_astro/inline-1.B45cFLvm.webp	404	inline (in-page only)	2026-06-23-cugas-two-dozen-examples-are-the-real-agent-documentation
https://kenashe.ai/_astro/inline-2.QmjThzLn.png	https://kenashe.ai/_astro/inline-2.qmfufTVP.webp	404	inline (in-page only)	2026-06-23-cugas-two-dozen-examples-are-the-real-agent-documentation
https://kenashe.ai/_astro/inline-3.BCbby3MS.png	https://kenashe.ai/_astro/inline-3.CFOPKtLD.webp	404	inline (in-page only)	2026-06-23-cugas-two-dozen-examples-are-the-real-agent-documentation
https://kenashe.ai/_astro/hero.Bz-LenEq.png	https://kenashe.ai/_astro/hero.BbYOSXBY.webp	200	hero (og:image + Article.image)	2026-06-23-dit-reward-turns-the-image-generator-into-its-own-critic
https://kenashe.ai/_astro/inline-1.65JhdLmc.png	https://kenashe.ai/_astro/inline-1.TzijTFb1.webp	404	inline (in-page only)	2026-06-23-dit-reward-turns-the-image-generator-into-its-own-critic
https://kenashe.ai/_astro/hero.9xxMuVbj.png	https://kenashe.ai/_astro/hero.Cr7oqqbL.webp	200	hero (og:image + Article.image)	2026-06-23-gpt-5-5-cyber-and-the-quiet-pivot-toward-security-models
https://kenashe.ai/_astro/inline-1.DffLcZsz.png	https://kenashe.ai/_astro/inline-1.BrF-TsFL.webp	404	inline (in-page only)	2026-06-23-gpt-5-5-cyber-and-the-quiet-pivot-toward-security-models
https://kenashe.ai/_astro/inline-2.CoktZwlI.png	https://kenashe.ai/_astro/inline-2.BPNI76cl.webp	404	inline (in-page only)	2026-06-23-gpt-5-5-cyber-and-the-quiet-pivot-toward-security-models
https://kenashe.ai/_astro/hero.31ZdYCZi.png	https://kenashe.ai/_astro/hero.BnIbVZEn.webp	200	hero (og:image + Article.image)	2026-06-23-omios-ai-native-travel-bet-starts-with-messy-trip-planning
https://kenashe.ai/_astro/inline-1.Ci7YVdXu.png	https://kenashe.ai/_astro/inline-1.W2MijhFQ.webp	404	inline (in-page only)	2026-06-23-omios-ai-native-travel-bet-starts-with-messy-trip-planning
https://kenashe.ai/_astro/hero.CGes9Njn.png	https://kenashe.ai/_astro/hero.COwZk4fS.webp	200	hero (og:image + Article.image)	2026-06-23-psybridge-makes-mental-health-ai-look-less-like-a-chatbot-and-more-like-a
https://kenashe.ai/_astro/inline-1.CHurG2HG.png	https://kenashe.ai/_astro/inline-1.CIPuvExV.webp	404	inline (in-page only)	2026-06-23-psybridge-makes-mental-health-ai-look-less-like-a-chatbot-and-more-like-a
https://kenashe.ai/_astro/hero.Cw06ldSQ.png	https://kenashe.ai/_astro/hero.BOsOm7mL.webp	200	hero (og:image + Article.image)	2026-06-23-recall-makes-robot-fine-tuning-less-wasteful-then-hits-forgetting
https://kenashe.ai/_astro/inline-1.Czh4LZ6X.png	https://kenashe.ai/_astro/inline-1.BCSDfhdt.webp	404	inline (in-page only)	2026-06-23-recall-makes-robot-fine-tuning-less-wasteful-then-hits-forgetting
https://kenashe.ai/_astro/hero.CbOwgpYq.png	https://kenashe.ai/_astro/hero.CXYWE-Gl.webp	200	hero (og:image + Article.image)	2026-06-23-semantic-browsing-moves-image-diversity-into-the-prompt-plan
https://kenashe.ai/_astro/inline-1.D0dVoSqL.png	https://kenashe.ai/_astro/inline-1.BOduFzqk.webp	404	inline (in-page only)	2026-06-23-semantic-browsing-moves-image-diversity-into-the-prompt-plan
https://kenashe.ai/_astro/inline-1.CBVR2dG0.png	https://kenashe.ai/_astro/inline-1.BGyW5KpM.webp	200	inline (in-page only)	2026-06-23-success-visitation-matching-makes-sparse-rl-less-starved-for-feedback
https://kenashe.ai/_astro/hero.Dv3hoKwJ.png	https://kenashe.ai/_astro/hero.qMzy3gGn.webp	200	hero (og:image + Article.image)	2026-06-23-tapered-language-models-and-the-free-lever-in-layer-width
https://kenashe.ai/_astro/inline-1.D8vurcdd.png	https://kenashe.ai/_astro/inline-1.BL1xItR4.webp	404	inline (in-page only)	2026-06-23-tapered-language-models-and-the-free-lever-in-layer-width
https://kenashe.ai/_astro/inline-2.BMARO4Fk.png	https://kenashe.ai/_astro/inline-2.DrNxwKNc.webp	404	inline (in-page only)	2026-06-23-tapered-language-models-and-the-free-lever-in-layer-width
https://kenashe.ai/_astro/hero.C7vAJxbt.png	https://kenashe.ai/_astro/hero.x4YLjUxN.webp	200	hero (og:image + Article.image)	2026-06-23-the-smart-tv-app-store-has-a-proxy-problem
https://kenashe.ai/_astro/inline-1.DHLJjCqL.png	https://kenashe.ai/_astro/inline-1.CSjwDI5m.webp	404	inline (in-page only)	2026-06-23-the-smart-tv-app-store-has-a-proxy-problem
https://kenashe.ai/_astro/hero.Kv5wgG1s.png	https://kenashe.ai/_astro/hero.xoPR_l_8.webp	200	hero (og:image + Article.image)	2026-06-23-what-llama-cpps-commit-log-tells-us-about-ai-written-code
https://kenashe.ai/_astro/inline-1.wfqWesRe.png	https://kenashe.ai/_astro/inline-1.BELd7fEF.webp	404	inline (in-page only)	2026-06-23-what-llama-cpps-commit-log-tells-us-about-ai-written-code
https://kenashe.ai/_astro/inline-2.BrOGW6bv.png	https://kenashe.ai/_astro/inline-2.Bb_f-YeX.webp	404	inline (in-page only)	2026-06-23-what-llama-cpps-commit-log-tells-us-about-ai-written-code
https://kenashe.ai/_astro/hero.D5E1EKuF.png	https://kenashe.ai/_astro/hero.D9VkujjX.webp	200	hero (og:image + Article.image)	2026-06-23-when-the-model-stack-goes-down-your-workflow-goes-with-it
https://kenashe.ai/_astro/inline-1.DVPYFjLl.png	https://kenashe.ai/_astro/inline-1.BPsRgKyY.webp	200	inline (in-page only)	2026-06-23-when-the-model-stack-goes-down-your-workflow-goes-with-it
https://kenashe.ai/_astro/inline-2.DtVLIN70.png	https://kenashe.ai/_astro/inline-2.C452p2It.webp	200	inline (in-page only)	2026-06-23-when-the-model-stack-goes-down-your-workflow-goes-with-it
https://kenashe.ai/_astro/hero.BkaF4iNk.png	https://kenashe.ai/_astro/hero.CLufVIbu.webp	200	hero (og:image + Article.image)	2026-06-24-ai-pave-br-makes-the-dataset-the-product
https://kenashe.ai/_astro/inline-1.ZI1RpzPr.png	https://kenashe.ai/_astro/inline-1.DJeSeZqB.webp	404	inline (in-page only)	2026-06-24-ai-pave-br-makes-the-dataset-the-product
https://kenashe.ai/_astro/hero.D5DmjoEN.png	https://kenashe.ai/_astro/hero.D2YFPy6I.webp	200	hero (og:image + Article.image)	2026-06-24-browser-ai-needs-shared-model-caches-not-more-duplicate-downloads
https://kenashe.ai/_astro/inline-1.CnBJzLWH.png	https://kenashe.ai/_astro/inline-1.9JaJbIVT.webp	404	inline (in-page only)	2026-06-24-browser-ai-needs-shared-model-caches-not-more-duplicate-downloads
https://kenashe.ai/_astro/hero.IYjX2ciB.png	https://kenashe.ai/_astro/hero.RxIfrosQ.webp	200	hero (og:image + Article.image)	2026-06-24-flux3d-points-at-the-real-bottleneck-in-image-to-3d
https://kenashe.ai/_astro/inline-1.DKG7mS39.png	https://kenashe.ai/_astro/inline-1.C_13uiYG.webp	404	inline (in-page only)	2026-06-24-flux3d-points-at-the-real-bottleneck-in-image-to-3d
https://kenashe.ai/_astro/hero.D_b8t6Ui.png	https://kenashe.ai/_astro/hero.itjhclys.webp	200	hero (og:image + Article.image)	2026-06-24-gpt-5-pros-immunology-win-is-a-workflow-story
https://kenashe.ai/_astro/inline-1.EgCvgJxY.png	https://kenashe.ai/_astro/inline-1.WMedEPff.webp	404	inline (in-page only)	2026-06-24-gpt-5-pros-immunology-win-is-a-workflow-story
