# Site-hosted image URL mapping, Phase B batch 6. Hashes computed with Rollup (the algorithm Astro uses for /_astro/ asset names).
# served_today: production HTTP status of old_url before the batch. 404 = original never emitted (only sized derivatives), no redirect needed.
# old_url	new_url	served_today	role	post_slug
https://kenashe.ai/_astro/hero.BXfeG_fd.png	https://kenashe.ai/_astro/hero.CPKz-VTL.webp	200	hero (og:image + Article.image)	2026-08-14-autodesign-turns-paper-to-poster-into-a-harness-the-agent-rewrites-itself
https://kenashe.ai/_astro/inline-1.BWkk-6DA.png	https://kenashe.ai/_astro/inline-1.B2LZJWK9.webp	404	inline (in-page only)	2026-08-14-autodesign-turns-paper-to-poster-into-a-harness-the-agent-rewrites-itself
https://kenashe.ai/_astro/inline-2.Bhkpf7vV.png	https://kenashe.ai/_astro/inline-2.CJPT-0x-.webp	404	inline (in-page only)	2026-08-14-autodesign-turns-paper-to-poster-into-a-harness-the-agent-rewrites-itself
https://kenashe.ai/_astro/inline-3.Bhz92TX7.png	https://kenashe.ai/_astro/inline-3.4Pf9AJ4e.webp	404	inline (in-page only)	2026-08-14-autodesign-turns-paper-to-poster-into-a-harness-the-agent-rewrites-itself
https://kenashe.ai/_astro/hero.DO3qZS4p.png	https://kenashe.ai/_astro/hero.BdESzXEl.webp	200	hero (og:image + Article.image)	2026-08-14-bitcoin-bug-hunting-meets-chinese-coding-models
https://kenashe.ai/_astro/inline-1.CtARaRLn.png	https://kenashe.ai/_astro/inline-1.Diuq1N0K.webp	200	inline (in-page only)	2026-08-14-bitcoin-bug-hunting-meets-chinese-coding-models
https://kenashe.ai/_astro/hero.o-MzgH0j.png	https://kenashe.ai/_astro/hero.CB-8Obo4.webp	200	hero (og:image + Article.image)	2026-08-14-chatgpts-brand-bias-starts-before-search
https://kenashe.ai/_astro/inline-1.CDT5LGmr.png	https://kenashe.ai/_astro/inline-1.BMMVWgtk.webp	404	inline (in-page only)	2026-08-14-chatgpts-brand-bias-starts-before-search
https://kenashe.ai/_astro/hero.J4z2JRvj.png	https://kenashe.ai/_astro/hero.DfGmUd9f.webp	200	hero (og:image + Article.image)	2026-08-14-gemini-3-7-flash-lands-what-the-announcement-actually-says-and-doesnt
https://kenashe.ai/_astro/inline-1.CWorQt5O.png	https://kenashe.ai/_astro/inline-1.TAdxaxSs.webp	404	inline (in-page only)	2026-08-14-gemini-3-7-flash-lands-what-the-announcement-actually-says-and-doesnt
