# Site-hosted image URL mapping, Phase B batch 4. Hashes computed with Rollup (the algorithm Astro uses for /_astro/ asset names); the 91 published posts' live og:image values matched the computed old URLs 91/91.
# served_today: production HTTP status of old_url on 2026-09-18 before the batch. 404 = original never emitted (only sized derivatives), no redirect needed.
# old_url	new_url	served_today	role	post_slug
https://kenashe.ai/_astro/hero.DNP5ucPa.png	https://kenashe.ai/_astro/hero.C4xJM26D.webp	200	hero (og:image + Article.image)	2026-07-24-mirror-trains-vision-models-by-making-each-modality-teach-the-others
https://kenashe.ai/_astro/inline-1.BtvSEIgR.png	https://kenashe.ai/_astro/inline-1.BQtNf5WS.webp	404	inline (in-page only)	2026-07-24-mirror-trains-vision-models-by-making-each-modality-teach-the-others
https://kenashe.ai/_astro/hero.L2arRIQF.png	https://kenashe.ai/_astro/hero.BAie_cB5.webp	200	hero (og:image + Article.image)	2026-07-24-synthetic-defects-for-real-printing-line-inspection
https://kenashe.ai/_astro/inline-1.DvW-fQg-.png	https://kenashe.ai/_astro/inline-1.UCtueqak.webp	404	inline (in-page only)	2026-07-24-synthetic-defects-for-real-printing-line-inspection
https://kenashe.ai/_astro/hero.Betv4TFU.png	https://kenashe.ai/_astro/hero.BRY_zOec.webp	200	hero (og:image + Article.image)	2026-07-24-the-automation-ceiling-nobody-prices-in-when-human-participation-is-the-product
https://kenashe.ai/_astro/inline-1.CGnjm5bj.png	https://kenashe.ai/_astro/inline-1.BXMVd9yt.webp	404	inline (in-page only)	2026-07-24-the-automation-ceiling-nobody-prices-in-when-human-participation-is-the-product
https://kenashe.ai/_astro/inline-2.DSshJAz-.png	https://kenashe.ai/_astro/inline-2.HKePPQs7.webp	404	inline (in-page only)	2026-07-24-the-automation-ceiling-nobody-prices-in-when-human-participation-is-the-product
https://kenashe.ai/_astro/inline-3.DoWLhqiX.png	https://kenashe.ai/_astro/inline-3.bJFult_3.webp	404	inline (in-page only)	2026-07-24-the-automation-ceiling-nobody-prices-in-when-human-participation-is-the-product
https://kenashe.ai/_astro/hero.DciqlH_2.png	https://kenashe.ai/_astro/hero.DTVr5A5Q.webp	200	hero (og:image + Article.image)	2026-07-24-timepns-makes-time-series-explanations-prove-necessity
https://kenashe.ai/_astro/inline-1.ARmNWJfo.png	https://kenashe.ai/_astro/inline-1.DI6xhpGU.webp	404	inline (in-page only)	2026-07-24-timepns-makes-time-series-explanations-prove-necessity
